label;geo_local_area;geom;geo_point_2d
158;West Point Grey;"{""coordinates"": [-123.21136030151959, 49.26127346557391], ""type"": ""Point""}";49.26127346557391, -123.21136030151959
4;West Point Grey;"{""coordinates"": [-123.21150979891789, 49.26072449276569], ""type"": ""Point""}";49.26072449276569, -123.21150979891789
2;West Point Grey;"{""coordinates"": [-123.21312506561574, 49.259855302991], ""type"": ""Point""}";49.259855302991, -123.21312506561574
4;West Point Grey;"{""coordinates"": [-123.21456119408016, 49.26077599508295], ""type"": ""Point""}";49.26077599508295, -123.21456119408016
2;West Point Grey;"{""coordinates"": [-123.21304698935425, 49.26165627150127], ""type"": ""Point""}";49.26165627150127, -123.21304698935425
4;West Point Grey;"{""coordinates"": [-123.20240237556433, 49.25863624904568], ""type"": ""Point""}";49.25863624904568, -123.20240237556433
3;West Point Grey;"{""coordinates"": [-123.20095492882308, 49.26042162791824], ""type"": ""Point""}";49.26042162791824, -123.20095492882308
148;West Point Grey;"{""coordinates"": [-123.2048556548248, 49.264792010488215], ""type"": ""Point""}";49.264792010488215, -123.2048556548248
3;West Point Grey;"{""coordinates"": [-123.20668531473453, 49.26601606737409], ""type"": ""Point""}";49.26601606737409, -123.20668531473453
1;West Point Grey;"{""coordinates"": [-123.2084244266067, 49.266900761335904], ""type"": ""Point""}";49.266900761335904, -123.2084244266067
2;West Point Grey;"{""coordinates"": [-123.20673753936454, 49.26687293840089], ""type"": ""Point""}";49.26687293840089, -123.20673753936454
2;West Point Grey;"{""coordinates"": [-123.20970343216071, 49.266922563237074], ""type"": ""Point""}";49.266922563237074, -123.20970343216071
3;West Point Grey;"{""coordinates"": [-123.20996879775748, 49.25889374515335], ""type"": ""Point""}";49.25889374515335, -123.20996879775748
232;West Point Grey;"{""coordinates"": [-123.18875510394079, 49.27154966455672], ""type"": ""Point""}";49.27154966455672, -123.18875510394079
3;West Point Grey;"{""coordinates"": [-123.20400325574194, 49.2588057279143], ""type"": ""Point""}";49.2588057279143, -123.20400325574194
1;West Point Grey;"{""coordinates"": [-123.20841478703237, 49.25977212648663], ""type"": ""Point""}";49.25977212648663, -123.20841478703237
2;West Point Grey;"{""coordinates"": [-123.21003259901357, 49.259795211019224], ""type"": ""Point""}";49.259795211019224, -123.21003259901357
168;West Point Grey;"{""coordinates"": [-123.18975608513604, 49.259159788259566], ""type"": ""Point""}";49.259159788259566, -123.18975608513604
3;West Point Grey;"{""coordinates"": [-123.19798092064987, 49.25856655121912], ""type"": ""Point""}";49.25856655121912, -123.19798092064987
4;West Point Grey;"{""coordinates"": [-123.19018309404807, 49.26026182781521], ""type"": ""Point""}";49.26026182781521, -123.19018309404807
1;West Point Grey;"{""coordinates"": [-123.19006223370143, 49.26297503723745], ""type"": ""Point""}";49.26297503723745, -123.19006223370143
1;West Point Grey;"{""coordinates"": [-123.1931069583033, 49.26302035277037], ""type"": ""Point""}";49.26302035277037, -123.1931069583033
4;Dunbar-Southlands;"{""coordinates"": [-123.19581857428403, 49.25235854828441], ""type"": ""Point""}";49.25235854828441, -123.19581857428403
3;Dunbar-Southlands;"{""coordinates"": [-123.19162249061773, 49.252343140964314], ""type"": ""Point""}";49.252343140964314, -123.19162249061773
4;Dunbar-Southlands;"{""coordinates"": [-123.19286754386196, 49.25234780665085], ""type"": ""Point""}";49.25234780665085, -123.19286754386196
42;Dunbar-Southlands;"{""coordinates"": [-123.19529704460375, 49.253041728124614], ""type"": ""Point""}";49.253041728124614, -123.19529704460375
1;Dunbar-Southlands;"{""coordinates"": [-123.19576788786678, 49.25326356314493], ""type"": ""Point""}";49.25326356314493, -123.19576788786678
