ID,Address,Building Name,Secondary Address,Area,Latitude,Longitude,Owner,Operator,Operator Group,Ownership Group,# Registered Rooms,Occupancy Status,Match Method
132,258 E Pender St.,May Wah Hotel,"254, 256, 260,& 262 E Pender St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2801025977413,-123.098223420822,Vancouver Chinatown Foundation For Communty R,Private,Private,Non-Profit,120,Open,building name
133,300 E Pender St.,China Villa,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2800562798079,-123.096518415188,CHRIST CHURCH OF CHINA,Private,Private,Non-Profit,51,Open,address
134,349 E Pender St.,,359 E Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2805738078005,-123.096025790927,Andrew Charney,Private,Private,Private,5,Open,building name
135,431 E Pender St.,"Pine Crane
Villa",,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2805480038742,-123.094599939057,Pender Lodge Holdings Ltd,Private,Private,Private,30,Open,address
136,575 E Pender St.,Arlington Rooms,577 E Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2805002580574,-123.091914567671,Chris Wall - 1186832 BC Ltd,Private,Private,Private,29,Open,address
137,832 E Pender St.,Ham Apartments,836 E Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2798755222985,-123.086394508837,Keefer Hawks Properties Ltd.,Private,Private,Private,18,Open,address
138,853 E Pender St.,Rose Garden Co-Op,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2803875486522,-123.086106638534,ROSE GARDEN COOPERATIVE HOUSING SOCIE,Rose Garden Coop,,Private,54,Open,address
139,31 W Pender St.,Pender Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.281101238303,-123.10603667694,,,,,,,unmatched
140,81 W Pender St.,Arco Hotel,83 W Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2812500247523,-123.106875641456,BCH,Atira Property Managem,Non-Profit,Government,63,Open,address
141,165 W Pender St.,Avalon Hotel / Rooms,"163 & 167 W Pender St., 175 W. Pender St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.28164648142,-123.10905742487,Chris Wall - 1235922 BC Ltd,Private,Private,Private,85,Open,address
142,429 W Pender St.,Park Hotel Apartments,433 W Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.283281105169,-123.112164950546,BCH,Atira Property Managem,Non-Profit,Government,50,Open,address
143,620 W Pender St.,Pender Place Hotel,622 W Pender St.,Downtown Core,49.2840753535323,-123.114501986647,Amacon - 620 West Pender Holdings Ltd,Private,Private,Private,46,Open,address
144,43 Powell St.,Europe Hotel,"41,45 & 49 Powell St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2834347308828,-123.103368939559,BCH,Atira Property Managem,Non-Profit,Government,84,Open,address
145,55 Powell St.,Grand Trunk Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2834529461145,-123.102810347051,Steve Lippman - 55 Powel Street Holdings Ltd,Private,Private,Private,25,Open,address
146,124 Powell St.,Hampton Hotel,122 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2829640403907,-123.101314183767,MPA Motivation Power & Achievement Society,MPA,Non-Profit,Non-Profit,52,Open,address
147,134 Powell St.,Lucky Lodge,132 & 136 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2829581996659,-123.10100033499,Laudisio - 0750062 BC Ltd,Private,Private,Private,57,Open,building name
148,259 Powell St.,York Rooms,261 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2834203612982,-123.098084542127,Chris Wall - 0921667 BC Ltd,Private,Private,Private,34,Open,address
149,316 Powell St.,Lion Hotel,318 & 324 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2828876400178,-123.097180412342,Abdul Abdollahi - 0781178 BC Ltd,Lookout,Non-Profit,Private,76,Open,address
150,326 Powell St.,King Rooms,328 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2828836789184,-123.096971104749,"Cheng, Hink K",Private,Private,Private,36,Open,address
151,346 Powell St.,Centennial Rooms,"342,344,348 & 350 Powell St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.282875665933,-123.096552149347,0773184 BC LTD,,,Private,13,Closed,address
152,376 Powell St.,Sakura-So,374  Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2828649042854,-123.095975930491,Lookout Housing and Health Society,Lookout,Non-Profit,Non-Profit,38,Open,address
153,390 Powell St.,New World Hotel,"394,396 & 398 Powell St.; 211 & 215 Dunlevy Ave.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2828579234683,-123.095609472401,,,,,,,unmatched
154,401 Powell St.,Marr Hotel,403 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2833523890773,-123.095050438374,,,,,,,unmatched
